ts,F3 10k,F4 5k
17287328.0,207.67291,-191.26965
17287427.0,207.59662,-190.31597
17287526.0,206.68109,-189.47674
17287625.0,206.83367,-189.59118
17287724.0,206.14703,-190.27783
17287823.0,206.75738,-189.286
17287922.0,206.5285,-190.04894
17288021.0,206.83367,-189.74377
17288120.0,207.06256,-190.20153
17288219.0,206.37591,-190.04894
17288318.0,206.60479,-189.17156
17288417.0,206.4522,-191.15521
17288516.0,207.21515,-191.04077
17288615.0,207.06256,-191.11706
17288714.0,206.60479,-190.62115
17288813.0,207.06256,-191.07891
17288912.0,206.5285,-190.69744
17289021.0,206.60479,-189.43859
17289130.0,206.98626,-191.34594
17289239.0,207.29144,-189.82006
17289338.0,206.60479,-189.89635
17289437.0,206.4522,-191.2315
17289536.0,207.06256,-190.43041
17289635.0,206.68109,-190.6593
17289734.0,207.29144,-190.46856
17289833.0,206.5285,-190.0108
17289932.0,207.74921,-191.19336
17290031.0,206.98626,-190.81189
17290130.0,205.91814,-191.15521
17290229.0,206.90997,-191.07891
17290328.0,206.4522,-191.26965
17290427.0,206.98626,-190.69744
17290526.0,205.53667,-189.78191
17290625.0,205.1552,-189.32415
17290725.0,205.91814,-189.9345
17290823.0,205.61297,-190.46856
17290922.0,205.76556,-190.62115
17291074.0,206.14703,-190.96447
17291173.0,206.22332,-190.81189
17291272.0,205.84185,-190.73559
17291371.0,205.30779,-190.39227
17291470.0,206.68109,-190.62115
17291569.0,206.29962,-190.69744
17291668.0,205.53667,-190.73559
17291767.0,205.38408,-190.20153
17291866.0,205.2315,-190.23968
17291965.0,205.30779,-189.55303
17292064.0,205.07891,-190.583
17292163.0,205.00261,-190.35412
17292262.0,205.84185,-189.9345
17292361.0,205.38408,-190.16338
17292460.0,204.69744,-190.08709
17292559.0,275.49849,-384.98072
17292658.0,327.30227,-394.25047
17292757.0,354.92079,-391.27499
17292856.0,376.89353,-387.8799
17292955.0,382.08154,-387.68916
17293054.0,394.21232,-390.20687
17293153.0,396.95891,-392.19052
17293252.0,400.31586,-391.00796
17293351.0,402.52839,-390.01614
17293450.0,404.43575,-390.05428
17293549.0,405.0461,-390.13058
17293648.0,404.66463,-391.1987
17293747.0,404.51204,-390.77908
17293846.0,404.66463,-390.70278
17293945.0,405.50387,-390.13058
17294044.0,404.35945,-389.8254
17294143.0,404.81722,-390.05428
17294242.0,405.1224,-390.51205
17294341.0,405.65645,-391.16055
17294440.0,405.50387,-390.77908
17294538.0,404.43575,-390.96981
17294637.0,405.88534,-390.28317
17294736.0,405.73275,-391.08426
17294835.0,405.73275,-391.35129
17294934.0,404.58834,-391.1987
17295033.0,405.19869,-391.65646
17295132.0,405.96163,-391.96164
17295241.0,404.81722,-391.73276
17295350.0,404.81722,-390.89352
17295459.0,404.96981,-391.54202
17295558.0,405.50387,-391.7709
17295657.0,405.42757,-391.46573
17295756.0,405.73275,-390.85537
17295856.0,405.73275,-391.46573
17295954.0,405.35128,-391.23684
17296053.0,406.03793,-391.42758
17296152.0,406.03793,-391.00796
17296251.0,405.50387,-391.31314
17296350.0,405.73275,-390.81723
17296449.0,405.58016,-390.4739
17296548.0,405.50387,-391.1987
17296647.0,404.89351,-392.26682
17296746.0,405.65645,-391.1987
17296845.0,405.88534,-392.26682
17296944.0,405.19869,-392.03793
17297043.0,405.35128,-391.61832
17297142.0,405.1224,-390.81723
17297241.0,405.1224,-392.4957
17297340.0,405.58016,-391.00796
17297439.0,404.43575,-391.80905
17297538.0,404.96981,-391.50387
17297638.0,405.42757,-391.7709
17297737.0,406.4194,-391.31314
17297836.0,405.50387,-392.03793
17297935.0,405.35128,-391.42758
17298044.0,405.35128,-391.7709
17298153.0,406.57199,-391.00796
17298262.0,405.42757,-390.35946
17298361.0,405.27498,-392.15237
17298460.0,405.50387,-392.11423
17298559.0,405.96163,-391.54202
17298658.0,405.1224,-392.07608
17298757.0,405.96163,-390.93167
17298856.0,405.42757,-390.93167
17298956.0,406.80087,-391.99979
17299055.0,405.58016,-392.03793
17299154.0,404.13057,-390.93167
17299253.0,406.03793,-391.80905
17299352.0,405.35128,-392.34311
17299451.0,405.80904,-390.85537
17299550.0,406.03793,-391.50387
17299649.0,406.19051,-391.38943
17299753.0,405.1224,-391.35129
17299852.0,404.74092,-391.99979
17299951.0,465.08966,-595.13319
17300050.0,528.79535,-592.99695
17300149.0,560.30487,-589.18224
17300248.0,580.21767,-592.9588
17300347.0,589.0678,-593.72175
17300446.0,595.40022,-593.22583
17300545.0,599.13864,-593.18769
17300644.0,601.65635,-591.24218
17300743.0,601.50376,-592.3103
17300842.0,602.80076,-592.57733
17300941.0,602.87706,-592.50104
17301040.0,603.5637,-594.17951
17301139.0,604.32665,-593.6836
17301238.0,603.71629,-592.50104
17301347.0,603.64,-593.37842
17301457.0,604.40294,-593.60731
17301556.0,604.17406,-593.14954
17301659.0,603.71629,-592.76807
17301758.0,603.94517,-593.64545
17301857.0,604.09776,-593.11139
17301957.0,603.18223,-593.26398
17302055.0,603.94517,-592.84436
17302154.0,604.25035,-592.92066
17302253.0,603.86888,-592.80622
17302353.0,604.70812,-592.99695
17302453.0,604.55553,-593.64545
17302553.0,603.33482,-593.91248
17302652.0,603.79259,-593.49286
17302751.0,603.64,-592.80622
17302850.0,604.02147,-593.07325
17302949.0,602.95335,-593.37842
17303048.0,603.94517,-593.53101
17303149.0,603.02964,-593.87434
17303248.0,602.49558,-593.95063
17303352.0,603.71629,-593.60731
17303451.0,603.02964,-593.37842
17303551.0,604.25035,-593.87434
17303651.0,603.64,-593.41657
17303752.0,603.86888,-593.14954
17303851.0,603.5637,-593.98878
17303951.0,603.86888,-593.75989
17304051.0,603.02964,-593.95063
17304150.0,603.18223,-593.79804
17304251.0,603.71629,-593.41657
17304351.0,602.95335,-593.53101
17304450.0,603.5637,-593.72175
17304550.0,603.33482,-594.3321
17304649.0,603.48741,-594.44654
17304748.0,603.18223,-593.49286
17304848.0,602.19041,-594.06507
17304946.0,602.19041,-593.83619
17305045.0,602.2667,-593.60731
17305144.0,602.57188,-593.91248
17305243.0,602.72447,-593.87434
17305342.0,601.65635,-593.79804
17305441.0,601.42747,-593.72175
17305540.0,603.41112,-593.64545
17305649.0,603.86888,-594.17951
17305758.0,602.49558,-594.37025
17305867.0,602.2667,-593.41657
17305966.0,603.5637,-593.87434
17306065.0,602.2667,-593.37842
17306165.0,602.03782,-593.18769
17306263.0,603.25853,-593.18769
17306361.0,602.95335,-593.60731
17306460.0,603.48741,-593.72175
17306559.0,603.02964,-594.21766
17306658.0,603.25853,-594.67543
17306757.0,603.86888,-593.79804
17306856.0,653.68902,-797.12218
17306955.0,723.26936,-792.12491
17307054.0,757.44918,-791.74344
17307153.0,778.12492,-795.82518
17307252.0,787.96687,-797.84698
17307351.0,794.223,-797.23662
17307450.0,799.02954,-795.52
17307549.0,798.87695,-795.40556
17307648.0,800.93689,-795.25297
17307747.0,800.93689,-796.62627
17307846.0,801.39466,-796.817
17307945.0,801.77613,-795.55815
17308044.0,802.08131,-795.10038
17308144.0,802.08131,-795.93962
17308242.0,801.69984,-795.71074
17308351.0,803.30201,-796.96959
17308460.0,801.47095,-795.5963
17308569.0,803.30201,-796.05406
17308668.0,802.76795,-796.58812
17308767.0,802.08131,-796.47368
17308866.0,801.39466,-795.86333
17308965.0,802.08131,-795.86333
17309064.0,801.39466,-795.74889
