ts,F1
32651089.91718292,3673.1479
32652091.01819992,3674.5975
32653092.118024822,3674.216
32654093.21808815,3674.2923
32655094.318151478,3675.1315
32656095.4182148,3674.9026
32657096.518039703,3674.5975
32658097.618103027,3675.9707
32659098.71816635,3676.3522
32660099.817991257,3674.8263
32661100.91805458,3674.5212
32662102.01907158,3674.75
32663103.119134903,3675.0552
32664104.219198227,3674.9026
32665105.31902313,3673.9871
32666106.419086456,3672.919
32667107.51914978,3674.5212
32668108.619213104,3675.2841
32669109.71903801,3674.9789
32670110.819101334,3674.8263
32671111.919164658,3676.81
32672113.020181656,3675.7419
32673114.12000656,3674.9026
32674115.220069885,3674.6737
32675116.32013321,3674.9026
32677012.50910759,3674.6737
32678013.610124588,3674.9789
32679014.710187912,3675.4367
32680015.810012817,3674.4449
32681016.91007614,3673.9108
32682018.010139465,3673.1479
32683019.11020279,3673.9108
32684020.21002769,3674.0634
32685021.31009102,3674.4449
32686022.410154343,3674.5212
32687023.510217667,3676.1996
32688024.610996246,3675.2841
32689025.71105957,3674.4449
32690026.81112289,3674.9026
32691027.91118622,3674.4449
32692029.011011124,3674.8263
32693030.111074448,3674.8263
32694031.21113777,3674.4449
32695032.311201096,3674.1397
32696033.411026,3673.3767
32697034.511089325,3673.3005
32698035.612106323,3673.9871
32699036.712169647,3674.0634
32700037.811994556,3675.4367
32701038.91205788,3674.216
32702040.0121212,3674.3686
32703041.112184525,3673.7582
32704042.21200943,3676.3522
32705043.312072758,3674.9789
32706044.41213608,3673.9108
32707045.5121994,3674.5212
32708046.6132164,3674.2923
32709047.713041306,3674.3686
32710048.81310463,3674.5212
32711049.913167957,3675.0552
32712051.01299286,3673.6819
32713052.113056183,3674.2923
32714053.213119507,3674.0634
32715054.31318283,3674.4449
32716055.413007736,3673.6819
32717056.51307106,3674.1397
32718057.61408806,3673.9871
32719058.714151382,3674.8263
32720059.814214703,3676.1996
32721060.91403961,3674.216
32722062.014102936,3674.5975
32723063.11416626,3675.0552
32724064.213991165,3674.5212
32725065.31405449,3674.4449
32726066.414117813,3674.4449
32727067.514181137,3674.9789
32728068.61519813,3674.5212
32729069.71502304,3674.9789
32730070.815086365,3674.5975
32731071.91514969,3674.216
32732073.015213013,3674.4449
32733074.11503792,3673.3767
32734075.21510124,3673.5293
32735076.31516457,3674.2923
32736077.41498947,3675.2078
32737078.515052795,3674.5975
32738079.616069797,3673.9108
32739080.71613312,3676.5811
32740081.81619644,3674.4449
32741082.916021347,3674.0634
32742084.01608467,3674.5975
32743085.116147995,3674.75
32744086.21621132,3674.1397
32745087.316036224,3675.0552
32746088.41609955,3674.75
32747089.516162872,3675.0552
32748090.61717987,3674.3686
32749091.717004776,3674.1397
32750092.8170681,3674.1397
32751093.917131424,3674.75
32752095.017194748,3673.5293
32753096.117019653,3673.453
32754097.217082977,3674.2923
32755098.3171463,3674.216
32756099.417209625,3674.2923
32757100.51703453,3674.0634
32758101.61805153,3674.216
32759102.718114853,3676.047
32760103.818178177,3674.4449
32761104.91800308,3674.5212
32762106.018066406,3675.0552
32763107.11812973,3674.5975
32764108.21819305,3674.5212
32765109.31801796,3674.75
32766110.418081284,3674.1397
32767111.518144608,3674.8263
32768112.61916161,3674.75
32769113.71898651,3674.5212
32770114.819049835,3674.9026
32771115.91911316,3673.6819
32772117.019176483,3673.0716
32773118.11900139,3672.6901
32774119.219064716,3673.2242
32775120.31912804,3673.3005
32776121.41919136,3674.0634
32777122.519016262,3673.8345
32778123.620033264,3673.9871
32779124.720096588,3674.216
32780125.820159912,3674.216
32781126.92022324,3673.453
32782128.02004814,3672.6138
32783129.120111465,3672.919
32784130.22017479,3673.8345
32785131.31999969,3674.1397
32786132.42006302,3674.2923
32787133.520126343,3674.5212
32788134.62114334,3674.216
32789135.721206665,3674.5212
32790136.82103157,3674.5975
32791137.92109489,3674.6737
32792139.02115822,3674.2923
32793140.121221542,3674.5212
32794141.221046448,3674.4449
32795142.32110977,3674.4449
32796143.421173096,3674.216
32797144.520998,3674.6737
32798145.622015,3674.5212
32799146.722078323,3674.2923
32800147.822141647,3674.5212
32801148.92220497,3674.1397
32802150.02202988,3674.75
32803151.1220932,3674.4449
32804152.222156525,3675.0552
32805153.32221985,3674.8263
32806154.422044758,3674.8263
32807155.52210808,3674.3686
32808156.62312508,3673.0716
32809157.7231884,3674.5212
32810158.823013306,3674.3686
32811159.92307663,3674.1397
32812161.023139957,3674.5212
32813162.12320328,3674.6737
32814163.223028183,3674.1397
32815164.323091507,3676.5811
32816165.42315483,3674.6737
32817166.523218155,3673.8345
32818167.62399673,3673.9108
32819168.72406006,3674.2923
32820169.824123383,3674.6737
32821170.924186707,3674.4449
32822172.02401161,3674.0634
32823173.124074936,3674.3686
32824174.22413826,3674.4449
32825175.324201584,3673.9108
32826176.42402649,3673.5293
32827177.524089813,3674.216
32828178.62510681,3674.2923
32829179.72517013,3674.3686
32830180.82499504,3674.4449
32831181.925058365,3674.1397
32832183.02512169,3674.1397
32833184.125185013,3674.4449
32834185.22500992,3674.5212
32835186.32507324,3674.1397
32836187.425136566,3674.5212
32837188.52519989,3674.1397
32838189.62621689,3673.9871
32839190.726041798,3673.9871
32840191.82610512,3673.5293
32841194.926023483,3674.4449
32842196.026086807,3674.6737
32843197.12615013,3674.216
32844198.22621345,3674.5212
32845199.32603836,3674.5212
32846200.42705536,3674.216
32847201.527118683,3674.216
32848202.627182007,3673.7582
32849203.727006912,3674.0634
32850204.82707024,3673.0716
32851205.92713356,3673.6056
32852207.027196884,3673.9108
32853208.12702179,3673.9871
32854209.227085117,3673.8345
32855210.32714844,3673.8345
32857079.51402664,3677.4203
32858080.61408997,3674.75
32859081.715106964,3674.4449
32860082.815170288,3674.5975
32861083.914995197,3674.4449
32862085.01505852,3674.216
32863086.11512184,3674.3686
32864087.215185165,3673.9871
32865088.31501007,3673.7582
32866089.415073395,3672.919
32867090.51513672,3673.6056
32868091.615200043,3673.9108
32869092.71621704,3674.5212
32870093.816041943,3674.216
32871094.91610527,3674.1397
32872096.016168594,3674.75
32873097.1159935,3674.8263
32874098.216056824,3674.5212
32875099.316120148,3674.216
32876100.41618347,3674.4449
32877101.516008377,3674.1397
32878102.6160717,3674.5212
32879103.7170887,3675.9707
32880104.817152023,3675.3604
32881105.917215347,3674.216
32882107.017040253,3674.75
32883108.117103577,3674.8263
32884109.2171669,3674.2923
32885110.31699181,3674.75
32886111.41705513,3674.75
32887112.51711845,3672.919
32888113.617181774,3673.6819
32889114.718198776,3673.9871
32890115.81802368,3674.0634
32891116.91808701,3674.0634
32892118.01815033,3674.1397
32893119.118213654,3677.0389
32894120.21803856,3675.5893
32895121.318101883,3674.5975
32896122.418165207,3674.6737
32897123.517990112,3674.75
32898124.61805344,3674.9026
32899125.719070435,3675.0552
32900126.81913376,3674.4449
32901127.919197083,3674.4449
32902129.019021988,3673.7582
32903130.119085312,3674.2923
32904131.21914864,3674.3686
32905132.31921196,3674.5212
32906133.419036865,3674.5212
32907134.51910019,3674.6737
32908135.619163517,3674.5212
32909136.72018051,3677.2678
32910137.820005417,3675.0552
32911138.92006874,3673.9108
32912140.020132065,3674.8263
32913141.12019539,3675.3604
32914142.22002029,3674.1397
32915143.32008362,3674.2923
32916144.420146942,3674.5975
32917145.520210262,3674.2923
32918146.62003517,3674.2923
32919147.72105217,3674.6737
32920148.821115494,3674.5212
32921149.921178818,3673.9871
32922151.021003723,3674.5975
32923152.121067047,3674.2923
32924153.22113037,3674.9026
32925154.32119369,3674.75
32926155.4210186,3674.5212
32927156.521081924,3674.8263
32928157.62114525,3674.216
32929158.722162247,3674.6737
32930159.821987152,3674.0634
32931160.92205048,3676.2759
32932162.0221138,3674.8263
32933163.122177124,3674.6737
32934164.22200203,3674.75
32935165.322065357,3675.0552
32936166.42212868,3674.6737
32937167.522192,3676.3522
32938168.622016907,3673.8345
32939169.723033905,3674.9789
32940170.82309723,3674.75
32941171.923160557,3674.1397
32942173.02298546,3673.9108
32943174.123048782,3673.9108
32944175.223112103,3673.9108
32945176.32317543,3674.0634
32946177.423000336,3674.0634
32947178.52306366,3674.1397
32948179.623126984,3674.5975
32949180.724143986,3675.7419
32950181.824207302,3673.3005
32951182.92403221,3674.5975
32952184.02409553,3674.6737
32953185.12415886,3674.5975
32954186.224222183,3674.2923
32955187.32404709,3674.4449
32956188.424110413,3673.5293
32957189.524173737,3674.1397
32958190.62399864,3674.0634
32959191.72501564,3674.3686
32960192.825078964,3676.9626
32961193.92514229,3673.9871
32962195.02520561,3674.5212
32963196.12503052,3674.75
32964197.22509384,3674.9026
32965198.32515717,3674.75
32966199.42522049,3674.216
32967200.525045395,3674.0634
32968201.62510872,3674.6737
32969202.72612572,3674.5212
32970203.82618904,3674.5212
32971204.926013947,3676.7337
32972206.02607727,3674.1397
32973207.126140594,3674.2923
32974208.22620392,3674.9026
32975209.326028824,3674.1397
32976210.426092148,3673.6056
32977211.52615547,3674.8263
32978212.6262188,3674.0634
32979213.72699737,3673.9871
32980214.8270607,3675.1315
32981215.927124023,3674.5975
32982217.027187347,3674.4449
32983218.127012253,3674.216
32984219.227075577,3675.2078
32985220.3271389,3674.9789
32986221.427202225,3673.9871
32987222.52702713,3674.9026
32988223.62709045,3674.9026
32989224.72810745,3674.2923
32990225.828170776,3676.9626
32991226.92799568,3673.9108
32992228.02805901,3675.0552
32993229.12812233,3674.4449
32994230.228185654,3674.8263
32995231.32801056,3674.6737
32996232.428073883,3673.7582
32997233.528137207,3674.5975
32998234.62820053,3674.4449
32999235.72921753,3676.3522
33000236.829042435,3674.3686
33001237.92910576,3675.4367
33002239.029169083,3674.5212
33003240.128993988,3674.5212
33004241.229057312,3675.2841
33005242.32912064,3674.4449
33006243.42918396,3673.8345
33007244.529008865,3673.8345
33008245.62907219,3674.4449
33009246.730089188,3674.6737
33010247.83015251,3674.1397
33011248.93021584,3676.2759
33012250.03004074,3674.9789
33013251.130104065,3674.2923
33014252.23016739,3674.75
33015253.32999229,3674.6737
33016254.43005562,3674.9789
33017255.530118942,3674.3686
33018256.630182263,3674.9026
33019224.479198456,3674.2923
33020208.36210251,3674.3686
33021203.322172165,3674.5212
33022202.183008198,3674.216
33023202.428102493,3676.4285
33024203.17220688,3674.75
33025204.1451931,3674.8263
33026205.14512062,3675.1315
33027206.14504814,3674.8263
33028207.14521408,3674.9789
33029208.1451416,3674.6737
33030209.14506912,3673.9871
33031210.144996643,3673.8345
33032211.145162582,3674.216
33033212.145090103,3674.75
33034213.145017624,3674.3686
33035214.145183563,3674.9789
33037213.145017624,3673.9871
33038214.145183563,3675.1315
33039215.145111084,3674.6737
33040216.145038605,3673.9871
33041217.145204544,3674.6737
33042218.145132065,3673.9108
33043219.145059586,3674.5975
33044220.144987103,3675.2078
33045221.14515305,3674.5975
33046222.145080566,3673.6056
33047223.145008087,3674.6737
33048224.145174023,3673.9108
33049225.145101547,3675.8182
33050226.145029068,3674.5212
33051227.145195007,3674.4449
33052228.145122528,3675.0552
33053229.14505005,3674.75
33054230.14521599,3673.2242
33055231.14514351,3674.1397
33056232.14507103,3674.6737
33057233.14499855,3677.1915
33058234.14516449,3674.2923
33059235.14509201,3674.75
33060236.14501953,3674.9789
33061237.14518547,3673.9108
33062238.14511299,3674.5975
33063239.145040512,3675.2841
33064240.14520645,3677.6492
33065241.14513397,3674.4449
33066242.145061493,3674.9789
33067243.144989014,3675.0552
33068244.145154957,3674.9789
33069245.145082477,3675.3604
33070246.145009995,3676.047
33071247.145175934,3675.4367
33072248.14510345,3675.0552
33073249.14503097,3673.3005
33074250.145196915,3674.75
33075251.145124435,3673.7582
33076252.14505196,3674.1397
33077253.145217896,3674.6737
33078254.145145416,3675.1315
33079255.145072937,3675.0552
33080256.145000458,3674.5212
33081257.1451664,3674.3686
33082258.14509392,3673.9871
33083259.14502144,3675.1315
33084260.145187374,3675.0552
33085261.1451149,3674.75
33086262.14504242,3673.7582
33087263.14520836,3673.0716
33088264.14513588,3674.9026
33089265.1450634,3673.3767
33090266.14499092,3674.216
33091267.14515686,3674.5975
33092268.14508438,3674.2923
33093269.1450119,3673.3767
33094270.14517784,3674.9026
33095271.14510536,3675.2078
33096272.145032883,3675.5893
33097273.145198826,3675.2841
33098274.145126343,3674.4449
33099275.145053864,3674.6737
33100276.145219803,3673.3005
33101277.145147324,3674.75
33102278.145074844,3674.9026
33103279.145002365,3676.5048
